Ev_Id	Lon	Lat	Depth
6	25.156250	11.718750	1.093750
9	30.312500	4.687500	1.562500
11	29.531250	11.718750	1.406250
17	27.890620	11.484380	1.015620
13	31.093750	3.281250	2.031250
18	30.937500	3.437500	1.562500
27	27.812500	12.187500	2.187500
29	29.218750	2.968750	1.093750
26	31.171880	3.203120	2.109380
21	27.343750	4.531250	1.093750
28	29.062500	12.812500	2.187500
19	28.906250	13.281250	1.406250
24	30.312500	2.187500	0.937500
39	28.437500	12.187500	1.562500
43	28.906250	11.718750	1.718750
31	27.812500	3.437500	0.937500
52	31.562500	2.187500	1.562500
62	30.781250	3.281250	1.718750
37	31.875000	1.875000	1.875000
36	27.343750	11.718750	0.781250
59	27.109380	11.640620	2.421880
58	27.656250	4.531250	0.781250
50	23.437500	14.062500	1.562500
48	26.718750	6.093750	1.406250
64	23.750000	13.750000	1.250000
63	28.359380	11.953120	1.015620
41	27.968750	11.718750	1.406250
46	28.125000	11.875000	1.875000
95	31.718750	2.968750	2.031250
101	27.734380	11.171880	1.484380
77	27.421880	12.578120	1.484380
73	27.812500	4.062500	0.937500
105	24.843750	13.281250	4.843750
93	27.812500	5.312500	0.937500
82	27.343750	12.656250	1.093750
84	27.812500	4.687500	1.562500
75	23.906250	14.218750	2.656250
102	24.531250	12.968750	1.718750
89	26.406250	12.031250	1.406250
108	30.468750	3.593750	0.781250
79	28.828120	12.265620	1.484380
104	25.937500	5.937500	3.437500
66	29.375000	11.875000	1.875000
67	27.343750	12.031250	1.406250
81	28.437500	12.187500	0.937500
106	27.968750	12.343750	1.093750
94	27.109380	11.953120	1.015620
92	28.828120	11.640620	1.328120
96	26.093750	5.468750	0.781250
231	27.343750	12.656250	1.093750
148	27.812500	12.187500	0.937500
191	29.843750	8.906250	4.843750
217	30.312500	12.812500	1.562500
210	30.312500	4.062500	1.562500
207	24.687500	14.062500	4.062500
195	25.937500	10.937500	4.062500
117	28.750000	6.250000	3.750000
226	28.203120	12.578120	1.484380
232	28.437500	12.812500	0.937500
204	28.281250	12.343750	1.093750
154	27.343750	12.343750	1.093750
127	25.390620	12.109380	1.015620
200	27.031250	12.031250	0.468750
222	25.156250	13.906250	2.343750
214	26.093750	5.156250	1.406250
211	24.687500	13.437500	1.562500
156	26.796880	12.890620	1.015620
196	26.562500	5.937500	0.937500
160	26.640620	12.578120	1.015620
151	24.375000	13.125000	0.625000
227	25.781250	12.343750	1.406250
208	25.468750	14.218750	1.406250
142	31.406250	2.656250	1.406250
229	28.437500	12.187500	2.187500
189	26.250000	6.250000	3.750000
387	26.953120	12.734380	1.015620
386	30.312500	2.812500	1.562500
430	26.328120	12.109380	0.390620
390	29.218750	3.906250	1.718750
447	26.406250	12.031250	1.093750
394	25.312500	14.062500	2.187500
449	27.812500	2.812500	2.187500
428	25.625000	13.125000	0.625000
440	30.312500	3.437500	2.187500
438	26.093750	4.531250	0.781250
401	30.312500	3.437500	0.937500
448	25.781250	13.906250	1.406250
340	27.890620	11.953120	0.390620
392	27.343750	12.343750	0.781250
388	30.781250	2.031250	2.031250
389	26.718750	12.343750	1.093750
450	27.187500	12.812500	0.937500
373	28.593750	13.593750	2.656250
398	26.171880	11.796880	1.328120
452	31.093750	3.281250	2.031250
318	27.968750	12.343750	1.093750
264	28.750000	11.250000	1.250000
443	27.890620	11.953120	1.484380
306	26.640620	11.171880	1.484380
454	27.343750	4.843750	1.718750
426	27.343750	11.718750	1.406250
451	26.796880	12.421880	1.484380
434	25.468750	13.281250	1.406250
427	27.187500	11.562500	1.562500
335	28.437500	12.187500	1.562500
374	27.265620	12.265620	1.015620
453	28.593750	12.343750	0.781250
378	27.187500	5.312500	2.187500
281	24.531250	13.593750	1.406250
762	30.625000	6.875000	4.375000
740	29.218750	12.968750	1.093750
710	25.937500	12.187500	1.562500
748	29.843750	4.218750	1.093750
766	27.031250	4.531250	2.031250
729	26.718750	5.468750	1.406250
716	31.406250	3.906250	2.031250
742	25.781250	13.281250	0.781250
764	26.562500	4.062500	0.312500
688	26.406250	13.281250	0.781250
747	28.437500	12.187500	1.562500
720	27.734380	12.109380	1.484380
759	26.484380	6.640620	1.484380
763	27.656250	5.468750	1.406250
607	30.312500	3.437500	0.937500
712	28.281250	11.406250	1.406250
724	26.640620	13.046880	0.859380
685	26.484380	12.421880	0.390620
652	27.187500	5.937500	1.562500
767	25.703120	6.015620	1.484380
751	29.375000	11.875000	1.875000
752	26.406250	6.406250	2.343750
718	27.109380	12.890620	1.015620
706	27.968750	12.343750	1.093750
700	26.562500	5.937500	0.937500
717	27.187500	4.062500	1.562500
665	24.687500	13.437500	0.937500
692	26.875000	5.625000	1.875000
645	26.796880	11.796880	1.015620
649	30.625000	3.125000	0.625000
714	24.609380	12.421880	1.015620
758	26.093750	11.406250	2.343750
753	25.546880	12.578120	1.015620
719	26.562500	12.187500	0.312500
956	26.093750	4.843750	1.406250
973	28.281250	5.781250	1.093750
922	29.218750	5.156250	0.781250
995	27.578120	11.953120	0.859380
892	27.187500	12.812500	0.937500
964	25.703120	12.890620	1.171880
890	28.437500	5.937500	3.437500
976	26.171880	13.203120	0.390620
999	27.031250	4.843750	1.718750
925	26.406250	3.906250	1.093750
998	30.468750	2.968750	1.718750
948	27.187500	4.687500	1.562500
871	27.187500	4.687500	1.562500
993	27.187500	11.562500	2.812500
905	29.843750	3.281250	0.781250
953	30.937500	1.562500	2.187500
894	25.156250	12.343750	0.781250
983	26.093750	5.156250	0.781250
957	28.750000	13.750000	3.750000
958	27.968750	12.343750	1.406250
997	25.468750	12.031250	2.031250
996	30.156250	2.343750	1.406250
801	29.843750	2.656250	2.031250
864	28.281250	12.031250	1.406250
1463	30.156250	3.281250	1.718750
1456	30.312500	3.437500	0.937500
1138	30.625000	3.125000	3.125000
1455	28.671880	4.609380	1.015620
1499	27.890620	5.703120	1.484380
1451	27.812500	4.687500	0.937500
1507	29.375000	3.125000	1.875000
1528	27.968750	4.843750	2.031250
1413	27.343750	5.156250	0.781250
1496	27.187500	5.312500	4.062500
1304	29.140620	4.609380	1.171880
1461	26.953120	12.734380	0.390620
1418	30.937500	2.187500	1.562500
1249	26.406250	11.718750	1.093750
1430	27.343750	12.343750	1.406250
1431	21.328120	2.890620	3.359380
1515	27.812500	4.062500	2.187500
1519	29.687500	12.187500	1.562500
1415	30.156250	4.218750	0.781250
1440	29.375000	13.125000	4.375000
1510	26.718750	12.968750	1.093750
1529	30.625000	3.125000	0.625000
1467	30.078120	5.703120	2.109380
1274	28.593750	11.406250	1.406250
1486	27.968750	4.218750	0.781250
1188	25.859380	12.578120	1.484380
1527	29.687500	2.812500	0.937500
1523	29.062500	3.437500	0.937500
1494	29.531250	4.218750	2.031250
1521	29.687500	4.687500	0.312500
1501	27.343750	4.531250	0.781250
1509	28.828120	5.390620	1.484380
1436	29.843750	4.218750	1.718750
1963	28.437500	4.062500	1.562500
1970	25.937500	12.812500	1.562500
2029	28.281250	4.843750	1.093750
2026	29.062500	3.437500	0.312500
2033	26.562500	12.187500	1.562500
2049	28.437500	4.687500	0.937500
1885	27.031250	5.781250	1.718750
2045	30.468750	4.843750	1.718750
2039	28.750000	3.750000	3.750000
2057	29.218750	5.156250	1.406250
1869	28.593750	3.593750	1.093750
2017	25.312500	12.187500	3.437500
2001	31.015620	3.984380	2.109380
1955	27.812500	4.062500	0.937500
2005	29.843750	4.218750	1.406250
2018	27.343750	4.218750	2.343750
1863	28.593750	4.843750	2.656250
1964	26.875000	5.625000	4.375000
1930	28.828120	5.078120	0.546880
1992	28.437500	4.062500	1.562500
2011	27.343750	4.843750	1.093750
1999	27.187500	5.312500	4.062500
2052	28.437500	3.437500	0.937500
1950	29.296880	11.328120	3.515620
2036	27.187500	12.187500	0.937500
2053	27.968750	4.843750	1.718750
2008	28.906250	3.593750	0.468750
1671	26.718750	5.781250	2.343750
2184	28.515620	4.765620	4.609380
2174	28.593750	4.843750	0.468750
2063	27.968750	5.156250	0.468750
2180	28.437500	4.062500	1.562500
2143	28.125000	4.375000	1.875000
2192	27.968750	5.781250	1.093750
2193	28.515620	7.109380	4.609380
2155	27.968750	5.781250	0.781250
2210	26.406250	4.843750	1.093750
2197	25.390620	12.578120	1.015620
2181	27.890620	4.140620	1.171880
2206	29.218750	4.218750	1.093750
2161	28.437500	3.437500	0.312500
2144	30.078120	3.828120	1.328120
2164	25.234380	12.109380	0.546880
2133	27.187500	4.687500	0.937500
2167	29.296880	3.671880	1.015620
2122	28.437500	3.437500	0.937500
2117	27.656250	3.593750	2.031250
2207	27.812500	4.687500	4.062500
2156	30.312500	2.812500	0.937500
2183	30.625000	3.125000	1.875000
2205	30.156250	4.843750	2.031250
2158	28.203120	3.828120	0.390620
2160	29.062500	3.437500	1.562500
2200	28.593750	4.531250	1.093750
2179	27.656250	4.843750	0.781250
2127	29.843750	3.906250	1.093750
2194	30.468750	3.593750	1.406250
2166	28.125000	4.375000	0.625000
2212	27.109380	5.546880	0.390620
2209	27.343750	5.156250	0.468750
2239	27.812500	5.937500	2.187500
2253	27.031250	12.343750	1.406250
2238	29.687500	4.062500	1.562500
2236	30.937500	3.437500	1.562500
2246	30.312500	5.312500	1.562500
2242	25.937500	13.437500	1.562500
2244	31.406250	2.343750	1.718750
2222	29.375000	10.625000	1.875000
2255	28.203120	11.640620	1.328120
2223	28.828120	5.546880	1.171880
2252	29.687500	10.312500	4.687500
2230	29.062500	4.062500	1.562500
2245	29.218750	13.593750	0.781250
2250	24.765620	12.265620	1.015620
2671	27.968750	5.781250	1.406250
2601	31.406250	4.843750	1.718750
2657	26.406250	4.531250	1.093750
2577	28.593750	3.906250	1.406250
2667	30.859380	2.578120	1.171880
2660	29.218750	3.281250	1.093750
2516	28.281250	5.468750	1.406250
2553	28.125000	4.375000	0.625000
2643	27.734380	4.765620	4.140620
2584	30.625000	4.375000	1.875000
2623	29.687500	3.437500	4.062500
2654	28.281250	4.218750	0.468750
2663	28.281250	5.156250	1.406250
2581	29.531250	3.281250	1.406250
2646	28.203120	4.921880	1.015620
2539	26.718750	12.343750	2.031250
2535	26.015620	12.734380	0.390620
2626	29.375000	1.875000	1.875000
2621	31.250000	3.750000	1.250000
2661	28.671880	4.140620	1.015620
2602	30.312500	3.437500	0.937500
2655	27.187500	6.562500	4.687500
2633	28.828120	6.328120	2.578120
2666	28.906250	4.843750	1.093750
2658	30.468750	3.906250	1.406250
2669	29.062500	4.687500	0.312500
2664	30.625000	4.375000	1.875000
2622	30.156250	6.718750	3.593750
2634	28.125000	5.625000	0.625000
2648	28.437500	4.062500	2.187500
2659	28.125000	4.375000	4.375000
2629	30.937500	2.187500	0.937500
2908	28.046880	5.234380	1.015620
3283	29.531250	3.281250	0.468750
3328	29.062500	2.187500	0.937500
3321	28.984380	2.890620	0.703120
3295	29.687500	13.437500	2.187500
3214	30.625000	3.125000	0.625000
3266	27.656250	3.906250	1.093750
3270	31.562500	2.812500	2.812500
3330	27.578120	13.203120	1.015620
3232	29.843750	3.906250	1.093750
3308	31.875000	1.875000	1.875000
3311	29.609380	3.828120	1.015620
3332	28.593750	4.218750	0.781250
3253	27.187500	4.062500	0.937500
3320	29.375000	3.125000	0.625000
3314	30.781250	13.281250	1.406250
2773	29.687500	5.937500	3.437500
3315	27.734380	4.921880	1.640620
3264	28.593750	4.218750	1.093750
3333	24.609380	13.046880	1.484380
3331	27.187500	4.687500	0.312500
3323	27.968750	12.656250	2.656250
3298	28.125000	11.875000	1.875000
3325	28.515620	4.609380	1.484380
3338	30.781250	6.093750	1.093750
3265	28.125000	4.375000	0.625000
3317	29.062500	3.437500	0.312500
3096	28.906250	5.468750	2.656250
3304	28.281250	4.531250	1.718750
3335	31.093750	4.843750	2.031250
3238	28.359380	4.921880	0.390620
3091	27.109380	4.609380	1.640620
3094	29.140620	5.546880	0.546880
3142	28.750000	3.750000	3.750000
3336	30.781250	2.968750	0.781250
3175	29.218750	3.593750	0.781250
3437	30.312500	12.812500	2.812500
3348	28.281250	4.218750	0.468750
3485	28.906250	4.218750	1.093750
3460	29.843750	3.281250	1.718750
3417	27.812500	5.312500	0.937500
3481	29.062500	4.687500	1.562500
3403	29.843750	3.906250	1.093750
3457	27.656250	4.531250	1.718750
3411	30.468750	3.906250	4.843750
3471	30.703120	2.578120	1.484380
3452	30.625000	13.125000	1.875000
3472	27.812500	12.812500	0.937500
3487	29.531250	2.968750	1.718750
3477	27.968750	5.156250	1.093750
3493	27.656250	3.906250	1.093750
3501	29.843750	4.531250	1.406250
3488	26.718750	12.031250	1.718750
3475	28.437500	4.687500	0.937500
3436	30.937500	5.312500	2.187500
3415	28.281250	3.906250	1.406250
3486	26.250000	13.750000	3.750000
3410	28.593750	5.468750	1.406250
3449	29.218750	2.968750	2.343750
3468	30.625000	4.375000	3.125000
3482	27.968750	3.906250	0.468750
3484	30.312500	13.437500	1.562500
3380	29.375000	3.125000	1.875000
3433	29.687500	3.437500	1.562500
3498	29.687500	13.437500	2.187500
3419	28.203120	3.046880	3.515620
3442	27.031250	12.968750	0.468750
3474	31.093750	3.906250	1.406250
3494	30.312500	3.437500	1.562500
3461	27.500000	2.500000	2.500000
3492	28.437500	4.687500	0.937500
3489	26.640620	12.578120	1.328120
3500	27.656250	12.031250	1.406250
3462	26.171880	12.578120	1.015620
3369	29.531250	4.531250	0.781250
3490	27.421880	4.921880	0.859380
3495	29.531250	3.593750	1.093750
3443	27.343750	12.968750	1.406250
3434	28.906250	3.906250	1.406250
3510	27.812500	5.937500	4.687500
3521	27.812500	5.312500	2.187500
3513	28.437500	3.437500	2.187500
3520	28.750000	3.750000	1.250000
3519	28.593750	3.906250	1.718750
3518	27.968750	3.593750	0.468750
3550	27.343750	4.843750	2.656250
3535	28.281250	4.218750	0.781250
3556	28.593750	3.593750	1.093750
3534	28.437500	4.687500	4.062500
3529	29.843750	3.593750	2.031250
3555	28.125000	3.125000	1.875000
3539	28.125000	4.375000	1.875000
3552	28.437500	4.062500	1.562500
3559	27.656250	4.218750	0.781250
3537	28.437500	2.812500	1.562500
3527	27.343750	4.843750	1.718750
3587	28.437500	4.687500	3.437500
3601	29.375000	3.125000	1.875000
3614	28.281250	4.531250	1.093750
3615	27.968750	3.906250	1.093750
3590	27.968750	4.218750	1.093750
3581	27.343750	4.843750	1.093750
3618	27.656250	4.531250	3.593750
3617	30.625000	4.375000	4.375000
3616	27.656250	4.218750	1.406250
3588	29.062500	4.062500	0.937500
3611	30.625000	4.375000	4.375000
3597	28.125000	4.375000	1.875000
3602	26.875000	5.625000	1.875000
3571	26.718750	4.531250	0.468750
3646	30.625000	4.375000	4.375000
3632	27.031250	4.843750	1.093750
3659	27.187500	5.312500	1.562500
3640	28.906250	12.656250	1.406250
3648	27.343750	4.531250	1.093750
3650	31.250000	3.750000	3.750000
3677	27.968750	4.218750	2.343750
3628	28.281250	4.843750	0.781250
3662	27.343750	4.218750	1.718750
3664	27.343750	5.468750	0.781250
3665	28.437500	4.062500	0.937500
3653	27.578120	4.140620	0.546880
3639	29.375000	4.375000	1.875000
3654	30.312500	2.812500	2.187500
3638	31.562500	1.562500	2.812500
3675	27.812500	4.687500	0.937500
3655	29.375000	4.375000	1.875000
3672	27.968750	3.906250	1.406250
3652	28.281250	4.531250	1.406250
3718	27.656250	4.531250	2.343750
3685	27.968750	3.593750	0.781250
3704	27.656250	4.531250	2.656250
3701	30.156250	3.906250	2.031250
3709	29.375000	4.375000	1.875000
3697	27.734380	4.921880	1.328120
3702	28.437500	3.437500	2.187500
3684	27.187500	4.687500	1.562500
3714	26.953120	3.984380	1.015620
