Ev_Id	Lon	Lat	Depth
19	30.937500	1.562500	1.562500
20	21.718750	12.968750	1.406250
31	30.312500	2.187500	2.812500
32	30.546880	6.171880	1.953120
35	26.875000	3.125000	3.125000
38	28.437500	6.562500	2.187500
42	26.406250	13.593750	2.968750
48	28.984380	9.140620	2.265620
51	31.250000	1.250000	1.250000
69	25.312500	2.812500	3.437500
75	29.375000	11.875000	1.875000
76	22.968750	11.718750	2.343750
77	22.734380	1.484380	1.484380
80	31.875000	0.625000	1.875000
81	29.062500	0.937500	1.562500
85	25.625000	3.125000	1.875000
86	29.375000	14.375000	1.875000
88	22.968750	2.968750	4.531250
90	29.218750	2.343750	3.281250
93	29.843750	1.718750	2.343750
108	30.937500	13.437500	2.187500
111	29.687500	0.937500	1.562500
115	30.468750	7.031250	3.281250
119	31.250000	6.250000	3.750000
123	25.078120	12.734380	2.421880
127	30.781250	13.593750	2.031250
128	31.875000	15.625000	3.125000
132	24.921880	11.328120	2.578120
137	31.875000	1.875000	3.125000
139	29.531250	11.093750	2.343750
152	31.406250	7.343750	2.343750
161	27.968750	2.031250	3.281250
165	28.593750	3.281250	2.656250
175	28.593750	3.906250	2.968750
176	29.062500	14.687500	1.562500
180	29.218750	2.031250	1.718750
182	28.437500	14.062500	1.562500
186	29.687500	14.687500	2.812500
187	30.312500	3.437500	2.187500
189	31.250000	3.750000	3.750000
196	31.093750	1.718750	1.718750
200	30.625000	14.375000	1.875000
208	31.562500	2.812500	3.437500
211	25.156250	12.656250	2.343750
223	25.468750	1.093750	1.718750
224	26.250000	1.250000	1.250000
227	21.875000	11.875000	1.875000
230	31.250000	3.750000	3.750000
234	29.062500	3.437500	4.687500
239	30.468750	0.781250	1.718750
254	30.625000	15.625000	4.375000
256	23.671880	2.578120	2.265620
262	25.156250	2.343750	1.718750
264	21.328120	13.203120	3.046880
268	27.500000	2.500000	2.500000
271	29.687500	13.437500	2.812500
272	24.843750	12.656250	4.218750
273	25.156250	11.406250	2.656250
274	30.859380	6.484380	3.046880
286	22.343750	15.156250	1.718750
287	30.625000	6.875000	3.125000
288	29.843750	13.281250	1.406250
292	27.656250	14.218750	1.718750
293	31.562500	1.562500	2.812500
296	30.312500	14.687500	2.187500
297	28.593750	14.843750	2.343750
302	30.156250	7.031250	2.031250
304	25.625000	13.125000	3.125000
305	25.859380	13.359380	2.890620
306	26.562500	11.562500	2.187500
309	24.218750	12.343750	1.718750
310	30.312500	3.437500	3.437500
311	22.187500	14.062500	2.187500
312	29.062500	14.687500	2.812500
324	29.843750	2.968750	1.718750
331	29.687500	0.937500	2.812500
332	25.937500	12.187500	2.812500
335	25.937500	2.812500	2.812500
336	31.015620	5.078120	2.890620
337	30.312500	7.812500	2.812500
338	29.375000	1.875000	4.375000
339	25.312500	13.437500	3.437500
340	28.593750	1.718750	2.656250
344	30.625000	3.125000	3.125000
349	30.937500	2.187500	3.437500
363	24.843750	13.593750	3.281250
364	31.250000	1.250000	1.250000
365	31.562500	14.062500	3.437500
368	30.312500	6.562500	2.812500
370	26.406250	13.281250	2.656250
371	29.531250	1.093750	1.406250
372	23.437500	12.812500	2.187500
375	29.687500	2.812500	3.437500
378	26.406250	12.031250	3.281250
383	30.156250	7.656250	2.656250
384	25.390620	12.265620	2.578120
387	28.125000	13.125000	1.875000
388	30.859380	6.171880	2.578120
390	27.187500	10.312500	3.437500
391	26.640620	14.453120	4.453120
393	29.687500	13.437500	0.937500
400	28.125000	11.875000	1.875000
401	28.906250	3.906250	2.656250
402	22.968750	12.656250	2.656250
404	28.046880	9.921880	3.046880
405	24.687500	12.187500	1.562500
412	30.625000	13.125000	1.875000
418	29.140620	9.609380	2.734380
422	28.906250	10.156250	2.656250
423	30.781250	1.406250	2.343750
424	27.343750	3.281250	2.656250
426	30.781250	8.593750	2.968750
427	29.687500	1.562500	1.562500
431	27.656250	1.718750	2.031250
433	25.312500	11.562500	2.812500
435	23.359380	13.203120	2.421880
437	26.406250	11.718750	2.656250
438	26.093750	2.031250	1.093750
439	29.375000	1.875000	3.125000
440	25.703120	12.578120	2.734380
453	30.625000	15.625000	4.375000
454	26.406250	9.843750	2.656250
457	30.625000	8.125000	4.375000
458	27.265620	3.828120	1.796880
459	29.375000	1.875000	3.125000
463	28.203120	9.765620	2.421880
465	29.062500	6.562500	2.187500
467	30.546880	6.328120	2.421880
472	24.296880	14.140620	1.484380
474	29.843750	6.718750	2.343750
479	24.921880	13.203120	3.828120
480	30.312500	2.187500	2.187500
485	28.906250	13.281250	2.968750
486	26.406250	12.031250	2.031250
487	29.687500	2.812500	1.562500
489	24.531250	12.656250	2.656250
490	30.312500	5.937500	3.437500
491	25.781250	13.281250	4.843750
492	25.546880	12.734380	2.109380
493	31.406250	7.968750	2.968750
494	30.625000	13.125000	3.125000
500	27.812500	12.812500	3.437500
507	25.468750	12.031250	2.343750
509	31.250000	13.750000	3.750000
512	29.218750	9.531250	2.968750
517	29.062500	3.437500	4.062500
520	30.312500	0.937500	2.187500
521	30.390620	3.046880	2.265620
527	28.906250	7.968750	1.406250
528	26.406250	12.968750	3.281250
530	25.390620	12.265620	1.953120
531	25.078120	11.640620	3.046880
533	27.031250	11.718750	1.718750
534	29.687500	2.812500	2.812500
539	29.375000	11.875000	4.375000
541	30.625000	10.625000	3.125000
543	23.359380	13.046880	2.578120
545	29.218750	7.031250	2.656250
546	22.968750	3.281250	4.531250
550	25.937500	14.062500	4.062500
553	29.375000	6.875000	3.125000
554	29.375000	6.875000	3.125000
558	29.062500	13.437500	2.812500
562	27.656250	14.218750	2.031250
565	25.625000	14.375000	1.875000
568	29.062500	5.937500	2.812500
569	27.421880	3.671880	3.515620
574	30.625000	11.875000	4.375000
575	27.500000	12.500000	2.500000
579	30.468750	2.656250	3.281250
580	28.281250	13.281250	1.718750
581	30.390620	4.140620	2.890620
582	29.062500	12.812500	2.812500
583	28.281250	4.218750	4.531250
584	27.812500	2.187500	3.437500
589	25.234380	12.578120	2.578120
592	28.125000	13.125000	1.875000
598	28.359380	5.859380	3.046880
606	28.281250	2.343750	2.343750
607	29.218750	10.781250	2.968750
608	26.171880	11.484380	2.890620
610	29.687500	2.812500	2.187500
611	23.046880	13.359380	2.265620
619	26.406250	12.031250	2.343750
620	28.515620	8.828120	2.734380
622	29.296880	5.390620	2.421880
623	28.125000	1.875000	1.875000
626	27.812500	6.562500	4.687500
627	23.984380	13.671880	1.953120
630	28.906250	12.656250	3.593750
633	25.937500	12.812500	1.562500
634	28.906250	2.031250	2.031250
636	30.625000	4.375000	4.375000
637	31.093750	2.343750	2.968750
639	29.687500	2.812500	2.812500
640	30.312500	7.812500	2.187500
641	29.218750	11.406250	3.593750
642	29.062500	3.437500	2.812500
647	29.687500	2.812500	2.187500
649	27.343750	12.031250	3.281250
656	29.609380	4.296880	1.796880
657	27.109380	11.796880	3.515620
663	25.156250	10.781250	3.906250
664	24.921880	11.953120	1.640620
666	27.265620	8.828120	2.578120
668	28.359380	6.171880	2.578120
669	30.468750	6.406250	3.281250
671	29.687500	14.062500	2.187500
672	28.750000	11.250000	3.750000
684	27.968750	7.343750	4.843750
687	26.718750	9.218750	2.031250
694	24.296880	12.734380	2.578120
697	26.875000	11.875000	3.125000
699	30.625000	8.125000	3.125000
704	25.625000	13.125000	1.875000
705	28.593750	7.031250	1.093750
706	31.250000	6.250000	1.250000
714	25.781250	3.281250	2.031250
717	25.859380	11.796880	3.046880
722	27.187500	12.187500	4.062500
723	28.437500	6.562500	2.812500
724	27.890620	6.953120	2.890620
727	29.062500	4.062500	2.187500
730	27.734380	8.046880	3.359380
731	28.515620	5.546880	1.953120
732	23.984380	12.109380	3.203120
734	29.687500	12.187500	2.812500
736	28.593750	10.781250	2.656250
745	31.250000	3.750000	3.750000
758	26.406250	11.406250	3.593750
760	30.312500	3.437500	3.437500
763	27.578120	10.859380	2.109380
764	31.015620	4.765620	3.515620
768	29.062500	9.687500	2.812500
770	28.828120	6.484380	2.421880
771	24.921880	13.359380	1.484380
775	30.625000	13.125000	4.375000
776	29.062500	5.937500	2.812500
777	26.562500	8.437500	2.187500
780	30.312500	4.062500	2.187500
781	26.718750	3.906250	2.656250
784	26.718750	6.406250	1.406250
785	29.296880	3.359380	1.484380
786	28.281250	6.406250	4.531250
787	26.718750	11.093750	1.406250
794	27.890620	4.609380	2.734380
796	29.062500	5.312500	2.812500
797	30.625000	11.875000	3.125000
798	29.375000	11.875000	3.125000
800	28.046880	8.046880	2.890620
801	27.812500	2.812500	2.812500
806	29.375000	14.375000	4.375000
807	28.515620	6.640620	2.421880
813	28.906250	3.593750	2.343750
816	29.218750	13.593750	2.031250
829	26.953120	9.453120	3.515620
830	27.968750	11.406250	3.281250
831	26.406250	5.468750	2.343750
834	27.265620	10.546880	3.046880
835	29.375000	3.125000	3.125000
837	27.812500	12.812500	4.687500
